,BranchLenght,BranchPerimeter,DecayRange,PercBarkAttached,HostPlant,VegetationSubtype,VegetationType,LocName,Exposure,Elevation,CanopyHeight,PercCanopyCover,PerLeafLitter,CollectionMonth,CollectionYear
Sample10,70,17.5,2.8,80,Euphorbia_canariensis,Cardonal,TabaibalCardonal,PozosFajana,N,77,1.5,35,5,Oct,Y2012
Sample1002,90,67,1.3,5,Spartocytisus_supranubius,PinarConRetama,Pinar,CorralNuevo,N,2000,12,20,85,Oct,Y2012
Sample1004,60,53,1.2,30,Spartocytisus_supranubius,PinarConRetama,Pinar,CorralNuevo,N,2000,12,20,85,Mar,Y2013
Sample101,92,16.5,2.7,90,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1010,108,56,1,95,Adenocarpus_viscosus,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Mar,Y2013
Sample102,46,14,2.7,70,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1020,90,52,1,30,Carlina_xeranthemoides,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Mar,Y2013
Sample1023,183,100,1.5,40,Chamaecytisus_proliferus,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Dec,Y2011
Sample1024,67,42.5,1,70,Chamaecytisus_proliferus,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Oct,Y2012
Sample1025,80,49.5,1,10,Chamaecytisus_proliferus,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Oct,Y2012
Sample1026,71,45.5,1,35,Chamaecytisus_proliferus,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Oct,Y2012
Sample1027,90,55.5,1.3,10,Chamaecytisus_proliferus,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Mar,Y2013
Sample1028,122,72,1.2,0,Chamaecytisus_proliferus,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Mar,Y2013
Sample1029,102,62.5,1.2,50,Chamaecytisus_proliferus,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Mar,Y2013
Sample1033,73,50,1,20,Descurainia_bourgeauana,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Mar,Y2013
Sample1036,244,137,1.5,0,Pinus_canariensis,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Dec,Y2011
Sample104,73,16.5,2.3,60,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1041,93,64,1,0,Pinus_canariensis,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Dec,Y2011
Sample1046,100,70,1.2,0,Pinus_canariensis,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Oct,Y2012
Sample1048,143,92.5,1,0,Pinus_canariensis,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Oct,Y2012
Sample1049,101,72,1.2,0,Pinus_canariensis,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Mar,Y2013
Sample105,51,15,3,0,Euphorbia_canariensis,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1051,82,63.5,1,0,Pinus_canariensis,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Mar,Y2013
Sample1055,84,66.5,1.3,60,Pterocephallus_lasiospermus,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Mar,Y2013
Sample1058,74,63,1.3,60,Spartocytisus_supranubius,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Dec,Y2011
Sample1059,114,83.5,1,70,Spartocytisus_supranubius,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Dec,Y2011
Sample1061,114,84.5,1,95,Spartocytisus_supranubius,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Oct,Y2012
Sample1063,77,67,1.3,50,Spartocytisus_supranubius,PinarConRetama,Pinar,LomoTieso,N,1785,15,40,95,Oct,Y2012
Sample1064,43,22,1.5,40,Adenocarpus_viscosus,PinarConRetama,Pinar,LomoDornajito,S,2081,25,60,90,Apr,Y2012
Sample1067,104,26,1.833333333,50,Adenocarpus_viscosus,PinarConRetama,Pinar,LomoDornajito,S,2081,25,60,90,Mar,Y2013
Sample1069,41,12,1,30,Adenocarpus_viscosus,PinarConRetama,Pinar,LomoDornajito,S,2081,25,60,90,Mar,Y2013
Sample107,106,16,1.8,15,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1083,84,12,1,50,Chamaecytisus_proliferus,PinarConRetama,Pinar,LomoDornajito,S,2081,25,60,90,Apr,Y2012
Sample109,71,11.5,1.8,50,Euphorbia_lamarckii,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1093,160,20.5,1.5,2,Pinus_canariensis,PinarConRetama,Pinar,LomoDornajito,S,2081,25,60,90,Dec,Y2011
Sample1105,92,20.5,1,0,Pinus_canariensis,PinarConRetama,Pinar,LomoDornajito,S,2081,25,60,90,Apr,Y2012
Sample1110,62,4,1,5,Pterocephallus_lasiospermus,PinarConRetama,Pinar,LomoDornajito,S,2081,25,60,90,Mar,Y2013
Sample1118,76,8,1.333333333,30,Spartocytisus_supranubius,PinarConRetama,Pinar,LomoDornajito,S,2081,25,60,90,Mar,Y2013
Sample1120,25,6.5,1.833333333,70,Adenocarpus_viscosus,PinarTipico,Pinar,MiradorMonta–eta,S,1792,30,75,92,Dec,Y2011
Sample1134,70,3.5,1,100,Carlina_xeranthemoides,PinarTipico,Pinar,MiradorMonta–eta,S,1792,30,75,92,Mar,Y2013
Sample1146,75,8.5,1.166666667,30,Chamaecytisus_proliferus,PinarTipico,Pinar,MiradorMonta–eta,S,1792,30,75,92,Dec,Y2011
Sample1150,64,6,1,2,Chamaecytisus_proliferus,PinarTipico,Pinar,MiradorMonta–eta,S,1792,30,75,92,Mar,Y2013
Sample1167,122,15.5,1.666666667,0,Pinus_canariensis,PinarTipico,Pinar,MiradorMonta–eta,S,1792,30,75,92,Mar,Y2013
Sample117,47,5,1,40,Lycium_intricatum,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1176,64,3.5,1,95,Sideritis_soluta,PinarTipico,Pinar,MiradorMonta–eta,S,1792,30,75,92,Mar,Y2013
Sample1177,80,2,1,100,Sideritis_soluta,PinarTipico,Pinar,MiradorMonta–eta,S,1792,30,75,92,Mar,Y2013
Sample1183,119,61,1.3,20,Adenocarpus_viscosus,PinarTipico,Pinar,RamonCaminero,N,1586,20,55,60,Dec,Y2011
Sample1184,113,58.5,1.2,100,Adenocarpus_viscosus,PinarTipico,Pinar,RamonCaminero,N,1586,20,55,60,Mar,Y2013
Sample1195,90,52.5,1.3,0,Chamaecytisus_proliferus,PinarTipico,Pinar,RamonCaminero,N,1586,20,55,60,Mar,Y2013
Sample1199,132,75.5,1.7,0,Chamaecytisus_proliferus,PinarTipico,Pinar,RamonCaminero,N,1586,20,55,60,Mar,Y2013
Sample12,80,22.5,2.5,80,Euphorbia_canariensis,Cardonal,TabaibalCardonal,PozosFajana,N,77,1.5,35,5,Oct,Y2012
Sample1206,128,77,1.7,0,Pinus_canariensis,PinarTipico,Pinar,RamonCaminero,N,1586,20,55,60,Dec,Y2011
Sample1208,176,102,1.3,40,Pinus_canariensis,PinarTipico,Pinar,RamonCaminero,N,1586,20,55,60,Dec,Y2011
Sample1209,98,63.5,1,0,Pinus_canariensis,PinarTipico,Pinar,RamonCaminero,N,1586,20,55,60,Dec,Y2011
Sample1211,45,23.5,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,Dec,Y2011
Sample1213,60,32,1.3,5,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,May,Y2012
Sample1215,107,56.5,1,100,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,May,Y2012
Sample1216,153,80,1,70,Adenocarpus_foliolosus,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,May,Y2012
Sample1220,21,16,2.8,80,Cystus_symphytifolius,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,May,Y2012
Sample1221,173,92.5,1,80,Chamaecytisus_proliferus,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,Dec,Y2011
Sample1223,36,25,1,50,Erica_arborea,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,Dec,Y2011
Sample1224,60,37.5,1,100,Erica_arborea,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,Dec,Y2011
Sample1228,156,87.5,1,10,Erica_arborea,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,May,Y2012
Sample123,67,3,1,5,Periploca_laevigata,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1230,145,83,1,10,Pinus_canariensis,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,Dec,Y2011
Sample1232,81,52,1.2,40,Pinus_canariensis,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,Dec,Y2011
Sample1233,334,179,1,40,Pinus_canariensis,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,Dec,Y2011
Sample1238,110,69.5,1.3,5,Pinus_canariensis,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,Dec,Y2011
Sample1239,109,69.5,1,0,Pinus_canariensis,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,May,Y2012
Sample124,59,3,1,0,Periploca_laevigata,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1240,91,61,1.5,0,Pinus_canariensis,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,May,Y2012
Sample1241,137,84.5,1,30,Pinus_canariensis,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,May,Y2012
Sample1243,120,77,1,25,Pinus_canariensis,PinarMixto,Pinar,Monta–aEscodesos,N,1430,20,60,90,May,Y2012
Sample1245,73,37.5,1.8,20,Pinus_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1246,135,69,1.7,5,Pinus_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1248,65,35,2,0,Pinus_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1249,70,38,2.2,0,Pinus_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1252,110,59.5,2.5,40,Pinus_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1253,160,85,1.2,10,Pinus_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1258,102,58.5,1,50,Cystus_symphytifolius,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1259,130,73,1,70,Cystus_symphytifolius,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1260,143,80,1,30,Ilex_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1261,86,52,1.8,20,Ilex_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1263,165,92.5,1,80,Morella_faya,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1265,179,100.5,1.5,85,Morella_faya,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,Jan,Y2012
Sample1266,83,53,1.2,0,Pinus_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1267,58,41,1.7,2,Pinus_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1268,60,42.5,2.3,30,Pinus_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1271,155,91.5,2,40,Morella_faya,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1273,92,61,1.5,90,Morella_faya,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1274,100,65.5,1.3,70,Morella_faya,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1277,134,84,1,80,Erica_arborea,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1278,96,65.5,1,25,Erica_arborea,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1279,80,58,1.2,0,Erica_arborea,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample128,77,6.5,1.3,70,Plocama_pendula,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1280,88,62.5,1,15,Ilex_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1282,94,66.5,1,90,Ilex_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1283,89,64.5,1,90,Ilex_canariensis,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1284,85,63,1,100,Cystus_symphytifolius,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1286,148,95.5,1,100,Cystus_symphytifolius,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1287,70,35.5,1.2,100,Adenocarpus_viscosus,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Mar,Y2013
Sample1292,70,38,2,95,Adenocarpus_viscosus,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Mar,Y2013
Sample13,65,25,2.7,80,Euphorbia_canariensis,Cardonal,TabaibalCardonal,PozosFajana,N,77,1.5,35,5,Oct,Y2012
Sample130,73,6.5,1.3,70,Plocama_pendula,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1311,141,83,1.2,5,Chamaecytisus_proliferus,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Apr,Y2012
Sample1317,106,68.5,1.3,0,Pinus_canariensis,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Feb,Y2012
Sample1318,75,53.5,1,0,Pinus_canariensis,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Feb,Y2012
Sample132,130,15,1,60,Plocama_pendula,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample133,58,5,1,15,Plocama_pendula,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,May,Y2013
Sample1330,71,57.5,1,30,Sideritis_soluta,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Mar,Y2013
