,aff_Arachnopezizaceae,Arachnopeziza_aurata,Arachnopeziza_delicatula,Arachnopeziza_obtusipila,Ascocoryne_cylichnium,Brunnipila_calyculiformis,Brunnipila_sp,cf_Calloriopsidae_TEIDE_ROSA,Calycina1_amarilla,Calycina2_blanca,Calycina_vulgaris,Calycina_claroflava,Calycina_scolochloae,Cistella_dentata,Cistella_hungarica,Cistella_mali,Cistella_pediformis,Cistella_tenuicula,Chlorociboria_aeruginascens,aff_Micraspis1,Claussenomyces_atrovirens,Claussenomyces_aff_atrovirens_negro,Claussenomyces_dacrymycetoideus,Claussenomyces_aff_hydnicola,Claussenomyces_munathina,Claussenomyces_aff_xylophilus,Cyathicula_cyathoidea,Cyathicula_hysterioides,Cyathicula_aff_nigrofusca,cf_Dasyscyphella,Dematioscypha_dematiicola,cf_Leptodontidium,Dermateaceae_TEIDE_DISC_azulamarill,Durella_connivens,cf_Micraspis2,cf_Durella_TEIDE_blanco,Durella_subconnivens,cf_Encoelia_TEIDE,Hamatocanthoscypha_obsoleta,Hyalopeziza_nectrioidea,Hyalopeziza_spec_Nov,Hyaloscypha_albohyalina,Hyaloscypha_aureliella,Hyalorbilia_berberidis,Hyalorbilia_brevistipitata,Hyalorbilia_fusispora,Hyalorbilia_lunata,Hyalorbilia_polypori,Hyalorbilia_inflatula,Hyalorbilia_juliae,Hyalorbilia_tortuosa,Hyphodiscus_himeniophilus,cf_Hyphodiscus_TEIDE,Lachnellula_calycina,Lachnum_fasciculare,Lachnum_pubescens,Lachnum_virgineum,Lachnum_aff_virgineum,Lasiobelonium_lonicerae,Lasiobelonium_subflavidum,Mollisia_sp1,Mollisia_sp2,Mollisia_sp3_dest_Amar,Mollisia_cf_cinerea,Mollisia_obscura,Mollisia_cf_ligni,Mollisia_cf_perelegans,Mollisia_cf_atlantica,Mollisia_aff_benesuada,Mollisia_aff_eriophori,Mollisia_lividofusca,cf_Naeviopsis,Neodasyscypha_cerina,Orbilia_acaciae,Orbilia_adenocarpi,Orbilia_asomatica,Orbilia_bicknelli,Orbilia_calyptrata,Orbilia_cf_carpoboloides,Orbilia_cejpii_tb_24258_O_batenni,Orbilia_corculispora,Orbilia_curvatetrapeziformis,Orbilia_desertorum,Orbilia_delphinus,Orbilia_dryadum,Orbilia_eucalypti,Orbilia_euonymi,Orbilia_fibriseda,Orbilia_filiformis,Orbilia_fissilis,Orbilia_flavida,Orbilia_flavidoroseolla,Orbilia_gambelli,Orbilia_hesperidea,Orbilia_hoana,Orbilia_idahoensis,Orbilia_inequalis,Orbilia_leucostigma,Orbilia_liliputiana,Orbilia_macrodelphinus,Orbilia_microserpens,Orbilia_microsoma,Orbilia_multidelphinus,Orbilia_multiserpens,Orbilia_multitrapezoidea,Orbilia_obtusispora,Orbilia_ocellata,Orbilia_patellarioides,Orbilia_pilifera,Orbilia_pisciformis,Orbilia_pleioacaciae,Orbilia_pleiogambelli,Orbilia_pleiomicrosoma,Orbilia_pleioserpens,Orbilia_pleioungulata,Orbilia_beltraniae,Orbilia_rosea,Orbilia_rubrovacuolata,Orbilia_scolecospora,Orbilia_sphaerospora,Orbilia_subaristata,Orbilia_subdelphinus,Orbilia_subtrapeziformis,Orbilia_succulenticola,Orbilia_trapeziformis,Orbilia_aff_vinosa,Orbilia_vinosa,Orbilia_vitalbae,cf_Parachnopeziza,Calycina_sp_TEIDE,cf_Pirotaea,Polydesmia_pruinosa,Potebniamyces_sp,Pragmopora_sp,Proliferodiscus_pulveraceus,Proliferodiscus_earoleucus,Psilocistella_quercina,Pseudohelotium_sordidulum,Pyrenopeziza_dextrinospora,Pyrenopeziza_sp,Rodwayella_sp_1septo,Rodwayella_sp_3septos,Strossmayeria_basitricha,Tatraea_sp,Trichopeziza_roseobruneolla,cf_Unguiculariopsis,Unguiculariopsis_cf_acericola,Velutarina_rufoolivacea,Zugazaea_agyrioides
Sample10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sample1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sample1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
